Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,2530,GAPDH,Unknown,SYBR,20.947729156200793,0.9901172133151891,2.825785232231813,Amp,false,98309.513954869,3,11,85.0262680053711,,,,,
A2,false,2530,GAPDH,Unknown,SYBR,20.835758885163173,0.9901802333440161,2.8352560942760534,Amp,false,98309.513954869,3,11,85.0262680053711,,,,,
A3,false,2530,GAPDH,Unknown,SYBR,20.965280845811115,0.9905450863513657,2.820061425029724,Amp,false,98309.513954869,3,12,85.0262680053711,,,,,
A5,false,2530,RPL,Unknown,SYBR,16.007318699234727,0.9875573907489255,2.8237874362720423,Amp,false,77860.66286623265,3,7,82.88780212402344,,,,,
A6,false,2530,RPL,Unknown,SYBR,16.198816859391513,0.9852257974968899,2.7811057318978993,Amp,false,77860.66286623265,3,7,83.00054931640625,,,,,
A7,false,2530,RPL,Unknown,SYBR,16.392858415980008,0.9872693358262725,2.776814568483416,Amp,false,77860.66286623265,3,7,83.00054931640625,,,,,
A9,false,2530,ACT,Unknown,SYBR,17.054790932034628,0.9821400385807182,2.7066612788276716,Amp,false,60647.08996969879,3,8,88.63526153564453,,,,,
A10,false,2530,ACT,Unknown,SYBR,16.02225628086577,0.988576468044568,2.836668552435047,Amp,false,60647.08996969879,3,8,88.63526153564453,,,,,
A11,false,2530,ACT,Unknown,SYBR,16.039856924471806,0.9872550113157833,2.8265168839165473,Amp,false,60647.08996969879,3,8,88.29705810546875,,,,,
A13,false,2530,71,Unknown,SYBR,22.64530117540366,0.9893706194012629,2.8138567941243315,Amp,false,68722.3657709478,3,13,86.49125671386719,,,,,
A14,false,2530,71,Unknown,SYBR,22.783348199082916,0.9887964104272038,2.7828448065715907,Amp,false,68722.3657709478,3,12,86.82943725585938,,,,,
A15,false,2530,71,Unknown,SYBR,22.432482261415835,0.9881379772094429,2.833290058186405,Amp,false,68722.3657709478,3,12,86.60398864746094,,,,,
